round,player 0 bankroll,player 1 bankroll,player 2 bankroll
1,1005,1000,1000
2,1005,995,995
3,1010,1000,995
4,1010,1000,995
5,1010,1000,995
6,1005,1000,995
7,1010,1005,990
8,1005,1000,995
9,1005,1005,995
10,1010,1000,995
11,1010,1000,990
12,1005,995,990
13,1000,990,985
14,1000,990,990
15,1005,985,995
16,1010,980,995
17,1005,980,1000
18,1000,980,1000
19,995,975,995
20,990,970,990
21,990,970,985
22,985,965,980
23,985,960,975
24,990,960,980
25,985,955,980
26,980,955,980
27,975,950,980
28,980,950,980
29,985,945,975
30,985,945,970
31,985,940,970
32,980,940,970
33,975,940,970
34,980,935,970
35,975,930,965
36,970,930,965
37,970,930,965
38,970,930,965
39,970,930,965
40,965,925,975
41,965,925,970
42,960,935,965
43,960,935,960
44,960,935,955
45,960,935,955
46,960,935,955
47,965,935,950
48,965,930,960
49,960,925,960
50,965,925,960
51,965,925,960
52,965,925,965
53,960,925,965
54,955,925,960
55,955,920,955
56,955,925,950
57,955,920,950
58,950,925,950
59,945,930,955
60,950,925,955
61,945,925,955
62,950,925,955
63,945,925,950
64,945,925,950
65,940,925,945
66,940,925,940
67,940,925,940
68,945,930,945
69,945,935,945
70,940,940,940
71,935,940,935
72,935,955,930
73,945,955,925
74,940,950,920
75,935,950,915
76,940,945,915
77,940,950,915
78,940,945,910
79,945,945,910
80,945,945,910
81,945,945,910
82,945,945,910
83,945,940,910
84,945,940,905
85,950,945,910
86,950,945,910
87,950,945,905
88,945,940,900
89,950,940,895
90,945,935,900
91,940,935,895
92,940,935,890
93,945,930,885
94,945,925,885
95,940,920,885
96,935,915,880
97,930,915,880
98,930,910,880
99,925,905,885
100,925,905,880
101,920,900,875
102,915,900,870
103,920,900,870
104,915,900,865
105,910,895,870
106,910,895,870
107,905,890,865
108,900,885,865
109,895,880,865
110,895,875,860
111,895,875,860
112,900,880,865
113,900,875,870
114,895,870,880
115,895,870,880
116,895,865,875
117,890,860,870
118,890,860,865
119,890,860,860
120,895,865,855
121,900,860,855
122,895,860,860
123,895,855,860
124,895,860,860
125,890,865,865
126,890,860,865
127,890,860,865
128,890,860,870
129,890,860,870
130,890,860,870
131,890,855,865
132,895,855,865
133,900,860,865
134,895,860,870
135,890,855,865
136,890,855,865
137,885,850,860
138,880,845,860
139,885,845,860
140,885,845,860
141,880,845,855
142,875,840,850
143,870,850,845
144,865,845,845
145,870,845,845
146,870,850,840
147,865,855,845
148,870,855,840
149,870,855,840
150,875,855,845
151,870,850,840
152,870,850,840
153,865,845,840
154,865,840,840
155,860,840,840
156,860,835,840
157,860,835,840
158,860,845,840
159,865,850,840
160,865,845,840
161,860,845,840
162,855,840,840
163,850,845,845
164,845,845,840
165,840,845,835
166,845,850,830
167,850,845,825
168,845,850,825
169,840,845,820
170,835,850,820
171,835,850,830
172,835,845,825
173,835,845,825
174,830,845,825
175,830,850,820
176,830,845,820
177,840,840,815
178,840,840,810
179,840,835,805
180,840,830,805
181,840,830,805
182,840,830,805
183,850,830,800
184,850,825,795
185,845,835,790
186,840,830,795
187,835,835,795
188,840,840,795
189,840,835,795
190,835,830,795
191,830,825,805
192,840,835,800
193,835,830,795
194,830,830,795
195,825,825,790
196,825,820,790
197,820,825,795
198,820,825,795
199,825,825,800
200,820,825,800
201,820,825,795
202,820,830,790
203,820,835,785
204,820,830,780
205,820,830,780
206,815,830,780
207,810,830,780
208,810,830,780
209,810,830,780
210,805,830,775
211,805,830,775
212,805,825,775
213,805,820,775
214,805,815,775
215,800,815,785
216,795,815,780
217,800,820,780
218,800,815,775
219,800,815,775
220,805,815,775
221,805,810,770
222,800,805,770
223,795,805,770
224,790,800,765
225,790,800,770
226,790,800,765
227,790,800,760
228,790,795,765
229,785,790,765
230,785,790,765
231,785,790,765
232,790,795,765
233,785,790,760
234,780,785,765
235,780,780,765
236,780,775,760
237,780,770,755
238,775,765,755
239,775,770,750
240,775,770,750
241,775,770,745
242,775,770,740
243,775,765,740
244,775,765,735
245,775,765,735
246,780,760,735
247,775,755,730
248,770,765,725
249,765,760,720
250,765,760,720
251,760,765,725
252,765,765,725
253,770,760,725
254,765,755,725
255,770,755,725
256,770,750,725
257,765,750,725
258,765,750,720
259,765,755,720
260,760,760,720
261,755,760,715
262,755,765,715
263,750,760,720
264,745,755,720
265,755,765,715
266,750,765,710
267,750,765,710
268,760,770,720
269,760,770,715
270,760,770,715
271,760,770,715
272,760,770,715
273,760,770,715
274,760,780,715
275,760,780,720
276,755,775,720
277,750,770,715
278,755,770,710
279,755,765,710
280,750,760,705
281,750,760,705
282,745,760,700
283,745,775,695
284,740,775,705
285,755,775,700
286,755,770,695
287,755,775,695
288,750,770,695
289,750,765,690
290,745,760,695
291,750,760,690
292,760,755,685
293,765,755,685
294,765,755,685
295,775,755,680
296,770,755,675
297,770,755,675
298,765,750,680
299,765,745,675
300,770,745,675
301,770,750,670
302,770,745,670
303,765,750,665
304,765,750,660
305,765,745,660
306,760,740,655
307,755,735,655
308,755,735,660
309,755,735,655
310,750,730,650
311,755,730,650
312,755,725,660
313,755,730,655
314,755,730,655
315,760,725,650
316,755,735,645
317,755,740,645
318,750,735,640
319,750,735,640
320,750,735,640
321,755,735,635
322,750,735,635
323,745,740,630
324,745,735,630
325,745,735,625
326,745,735,625
327,740,735,625
328,735,735,630
329,735,740,630
330,730,745,625
331,730,740,620
332,730,735,615
333,725,740,620
334,720,740,615
335,720,745,615
336,720,740,615
337,720,740,615
338,715,745,620
339,720,740,615
340,715,735,610
341,715,735,610
342,710,735,615
343,705,730,615
344,705,725,610
345,715,720,605
346,715,720,610
347,710,725,605
348,705,730,600
349,705,730,595
350,705,730,605
351,705,735,605
352,715,730,600
353,710,730,595
354,705,730,590
355,705,730,585
356,705,725,580
357,705,725,580
358,705,725,575
359,700,730,575
360,700,725,575
361,695,735,570
362,695,735,565
363,690,735,560
364,685,730,555
365,680,735,555
366,680,735,550
367,685,735,555
368,680,735,555
369,675,745,550
370,670,740,545
371,675,735,545
372,675,730,540
373,675,730,545
374,670,730,545
375,670,730,545
376,670,730,545
377,680,725,540
378,675,725,540
379,675,730,540
380,670,725,535
381,665,725,535
382,665,720,530
383,670,715,535
384,665,720,535
385,665,720,535
386,660,725,530
387,655,725,525
388,655,720,520
389,650,720,515
390,655,715,510
391,650,715,505
392,655,720,505
393,655,720,505
394,655,715,500
395,650,785,495
396,645,780,490
397,640,775,490
398,640,775,490
399,640,775,490
400,640,775,490
401,650,770,485
402,650,770,480
403,650,775,475
404,650,770,475
405,645,765,475
406,645,770,475
407,640,770,470
408,640,770,465
409,635,765,470
410,635,760,470
411,630,760,465
412,630,760,465
413,625,755,460
414,630,760,455
415,630,760,460
416,625,755,470
417,625,755,475
418,620,750,470
419,625,755,465
420,630,755,460
421,630,755,460
422,625,750,465
423,625,745,460
424,620,745,455
425,625,745,450
426,620,745,445
427,620,745,440
428,625,750,435
429,625,750,435
430,620,745,430
431,620,740,430
432,620,735,435
433,615,730,430
434,615,730,435
435,615,730,440
436,615,730,440
437,615,735,435
438,615,740,435
439,615,735,430
440,615,735,430
441,610,740,425
442,605,735,430
443,605,730,425
444,615,725,420
445,625,735,430
446,625,735,430
447,625,735,425
448,620,730,425
449,615,730,425
450,620,725,425
451,615,725,420
452,615,725,425
453,615,725,420
454,615,725,415
455,610,730,420
456,605,735,420
457,600,735,420
458,600,735,420
459,595,730,435
460,600,735,430
461,595,730,435
462,595,725,430
463,590,725,430
464,595,725,425
465,590,720,430
466,595,715,425
467,595,725,435
468,590,725,430
469,590,725,430
470,590,735,425
471,585,740,430
472,580,740,435
473,575,745,435
474,585,745,435
475,590,745,435
476,595,745,435
477,595,745,435
478,595,740,430
479,595,735,435
480,595,740,435
481,590,735,430
482,590,735,425
483,590,730,425
484,595,730,425
485,595,725,430
486,590,720,425
487,600,720,420
488,600,715,420
489,600,715,420
490,600,715,420
491,595,710,420
492,595,705,425
493,590,705,420
494,590,705,420
495,590,710,420
496,590,710,415
497,585,715,420
498,580,710,415
499,575,710,420
500,575,710,420
501,570,720,415
502,565,725,410
503,565,725,410
504,565,725,415
505,565,720,410
506,565,715,405
507,565,715,410
508,560,715,405
509,555,715,405
510,555,715,405
511,560,715,405
512,555,720,410
513,555,715,410
514,565,710,420
515,565,705,420
516,560,710,415
517,555,710,410
518,555,710,405
519,550,705,400
520,550,715,410
521,555,715,405
522,555,715,405
523,550,710,400
524,550,705,395
525,550,705,395
526,545,705,390
527,550,705,390
528,550,705,390
529,545,715,385
530,540,725,385
531,535,720,380
532,530,715,380
533,530,715,375
534,530,715,375
535,525,715,380
536,525,720,380
537,525,720,375
538,525,720,370
539,520,725,370
540,520,725,365
541,520,720,360
542,515,720,365
543,510,720,375
544,505,720,375
545,510,720,375
546,505,715,370
547,505,710,375
548,500,705,370
549,495,700,375
550,495,710,370
551,495,705,370
552,490,700,375
553,485,695,370
554,480,700,365
555,475,705,370
556,480,710,380
557,480,705,375
558,475,705,370
559,475,700,380
560,470,700,385
561,470,705,385
562,465,710,395
563,460,715,395
564,460,710,390
565,455,710,385
566,450,710,380
567,445,705,375
568,450,710,370
569,445,710,370
570,445,710,365
571,445,715,360
572,440,725,355
573,440,720,355
574,440,720,355
575,435,725,350
576,430,720,345
577,425,715,340
578,420,720,340
579,420,725,335
580,425,720,330
581,420,720,325
582,415,725,320
583,415,720,320
584,410,720,315
585,405,725,310
586,405,725,305
587,410,730,310
588,410,730,305
589,405,735,300
590,400,730,305
591,400,725,315
592,405,720,310
593,420,735,305
594,420,735,300
595,420,730,300
596,420,725,295
597,415,725,290
598,415,720,290
599,410,715,285
600,410,715,285
601,410,715,280
602,410,715,275
603,415,715,280
604,425,715,280
605,435,710,280
606,435,705,285
607,435,700,290
608,440,705,290
609,435,705,295
610,435,705,290
611,435,705,290
612,430,700,285
613,435,695,290
614,440,690,285
615,435,690,285
616,435,690,280
617,430,690,275
618,430,695,270
619,425,690,265
620,420,685,265
621,415,685,265
622,415,685,265
623,410,680,265
624,410,680,260
625,410,680,260
626,415,675,260
627,415,680,260
628,410,675,255
629,415,675,255
630,420,670,255
631,425,670,260
632,420,665,255
633,420,660,255
634,420,660,250
635,415,655,245
636,415,655,240
637,415,655,240
638,410,650,245
639,405,655,250
640,400,660,245
641,395,670,245
642,390,670,245
643,390,670,240
644,395,670,235
645,395,665,230
646,395,665,225
647,390,660,225
648,385,660,225
649,380,665,220
650,380,665,225
651,380,665,225
652,380,665,225
653,390,665,220
654,390,665,220
655,385,670,220
656,380,670,225
657,375,665,240
658,375,670,240
659,370,670,240
660,365,670,240
661,360,680,240
662,355,690,235
663,350,695,235
664,345,690,235
665,350,690,230
666,350,695,230
667,350,695,225
668,345,690,220
669,350,695,220
670,345,695,220
671,340,695,220
672,335,690,215
673,330,685,220
674,325,680,215
675,325,680,220
676,325,675,220
677,320,675,220
678,320,670,225
679,315,675,220
680,315,675,230
681,310,670,225
682,305,665,220
683,305,660,220
684,300,660,225
685,300,660,225
686,300,655,225
687,300,650,225
688,305,650,220
689,300,655,220
690,305,650,225
691,305,650,225
692,300,645,220
693,300,645,215
694,300,640,210
695,300,640,210
696,295,650,210
697,310,665,205
698,305,665,205
699,300,665,210
700,295,670,205
701,295,670,200
702,290,670,195
703,285,675,190
704,285,680,190
705,295,675,200
706,290,670,195
707,290,670,195
708,295,675,195
709,290,680,200
710,285,685,200
711,280,690,195
712,280,685,190
713,280,690,190
714,280,685,190
715,275,685,190
716,280,690,185
717,275,685,180
718,270,685,180
719,265,685,180
720,260,690,180
721,260,690,180
722,260,690,180
723,255,685,180
724,260,690,190
725,260,695,185
726,255,690,180
727,250,690,180
728,245,685,175
729,245,685,170
730,245,685,175
731,240,680,170
732,235,675,175
733,230,670,175
734,225,670,185
735,235,670,185
736,230,665,180
737,230,660,175
738,225,660,170
739,220,670,170
740,220,665,170
741,220,665,175
742,215,670,180
743,220,665,175
744,215,670,175
745,210,670,170
746,205,670,170
747,205,670,170
748,210,675,165
749,205,670,160
750,215,670,155
751,210,665,160
752,210,660,160
753,205,655,155
754,205,655,155
755,205,650,160
756,205,650,155
757,200,650,155
758,195,650,150
759,200,645,145
760,200,645,140
761,195,650,140
762,195,650,140
763,190,645,135
764,185,650,135
765,195,645,130
766,205,645,125
767,200,650,125
768,195,660,125
769,190,660,120
770,185,665,120
771,180,670,115
772,185,670,115
773,190,675,115
774,190,670,110
775,190,665,110
776,190,660,105
777,190,660,100
778,190,655,100
779,190,655,100
780,190,655,95
781,185,650,95
782,180,645,90
783,175,650,95
784,180,655,95
785,180,650,90
786,175,645,95
787,180,640,90
788,175,635,100
789,180,640,100
790,180,635,95
791,180,635,95
792,180,635,100
793,185,640,105
794,190,635,110
795,190,630,115
796,200,640,110
797,210,635,110
798,205,635,105
799,205,635,100
800,200,635,100
801,195,640,95
802,205,635,105
803,205,635,105
804,200,630,110
805,200,625,120
806,195,620,115
807,190,615,125
808,185,615,125
809,185,615,120
810,190,610,115
811,200,605,110
812,200,600,105
813,200,615,120
814,200,620,115
815,195,620,110
816,195,620,110
817,200,620,105
818,195,615,100
819,200,615,100
820,195,610,100
821,195,610,100
822,190,620,100
823,190,620,100
824,190,620,100
825,190,615,100
826,185,610,100
827,185,610,95
828,185,615,95
829,190,620,90
830,185,625,85
831,185,625,80
832,190,630,75
833,190,630,70
834,185,630,65
835,180,625,65
836,185,630,60
837,185,625,55
838,185,620,55
839,180,620,50
840,185,620,55
841,190,615,55
842,185,610,50
843,180,610,55
844,175,605,50
845,170,605,60
846,170,605,60
847,165,605,55
848,160,600,50
849,160,595,50
850,165,590,45
851,165,585,40
852,160,585,40
853,155,580,35
854,155,575,40
855,150,575,40
856,150,575,40
857,160,570,50
858,155,570,55
859,150,575,50
860,160,570,50
861,160,570,50
862,155,570,55
863,150,565,50
864,155,570,45
865,150,570,45
866,145,570,45
867,140,565,55
