round,player 0 bankroll,house 0 bank
1,996.25,1003.75
2,992.5,1007.5
3,988.75,1011.25
4,985.0,1015.0
5,981.25,1018.75
6,981.25,1018.75
7,981.25,1018.75
8,981.25,1018.75
9,977.5,1022.5
10,977.5,1022.5
11,973.75,1026.25
12,970.0,1030.0
13,966.25,1033.75
14,966.25,1033.75
15,966.25,1033.75
16,962.5,1037.5
17,958.75,1041.25
18,955.0,1045.0
19,951.25,1048.75
20,947.5,1052.5
21,962.5,1037.5
22,958.75,1041.25
23,955.0,1045.0
24,955.0,1045.0
25,955.0,1045.0
26,951.25,1048.75
27,951.25,1048.75
28,951.25,1048.75
29,951.25,1048.75
30,947.5,1052.5
31,947.5,1052.5
32,943.75,1056.25
33,943.75,1056.25
34,940.0,1060.0
35,936.25,1063.75
36,936.25,1063.75
37,951.25,1048.75
38,947.5,1052.5
39,947.5,1052.5
40,943.75,1056.25
41,940.0,1060.0
42,936.25,1063.75
43,936.25,1063.75
44,932.5,1067.5
45,928.75,1071.25
46,925.0,1075.0
47,921.25,1078.75
48,921.25,1078.75
49,917.5,1082.5
50,913.75,1086.25
51,910.0,1090.0
52,910.0,1090.0
53,906.25,1093.75
54,906.25,1093.75
55,906.25,1093.75
56,961.25,1038.75
57,961.25,1038.75
58,961.25,1038.75
59,957.5,1042.5
60,957.5,1042.5
61,972.5,1027.5
62,968.75,1031.25
63,968.75,1031.25
64,965.0,1035.0
65,961.25,1038.75
66,961.25,1038.75
67,961.25,1038.75
68,961.25,1038.75
69,957.5,1042.5
70,953.75,1046.25
71,953.75,1046.25
72,953.75,1046.25
73,953.75,1046.25
74,953.75,1046.25
75,953.75,1046.25
76,950.0,1050.0
77,946.25,1053.75
78,942.5,1057.5
79,938.75,1061.25
80,938.75,1061.25
81,938.75,1061.25
82,935.0,1065.0
83,935.0,1065.0
84,931.25,1068.75
85,931.25,1068.75
86,927.5,1072.5
87,923.75,1076.25
88,923.75,1076.25
89,923.75,1076.25
90,920.0,1080.0
91,916.25,1083.75
92,912.5,1087.5
93,908.75,1091.25
94,908.75,1091.25
95,905.0,1095.0
96,905.0,1095.0
97,901.25,1098.75
98,901.25,1098.75
99,897.5,1102.5
100,893.75,1106.25
101,893.75,1106.25
102,893.75,1106.25
103,890.0,1110.0
104,890.0,1110.0
105,886.25,1113.75
106,886.25,1113.75
107,882.5,1117.5
108,878.75,1121.25
109,878.75,1121.25
110,875.0,1125.0
111,871.25,1128.75
112,871.25,1128.75
113,867.5,1132.5
114,863.75,1136.25
115,863.75,1136.25
116,860.0,1140.0
117,856.25,1143.75
118,852.5,1147.5
119,848.75,1151.25
120,863.75,1136.25
121,863.75,1136.25
122,860.0,1140.0
123,856.25,1143.75
124,852.5,1147.5
125,852.5,1147.5
126,848.75,1151.25
127,845.0,1155.0
128,841.25,1158.75
129,837.5,1162.5
130,837.5,1162.5
131,837.5,1162.5
132,837.5,1162.5
133,837.5,1162.5
134,837.5,1162.5
135,833.75,1166.25
136,830.0,1170.0
137,826.25,1173.75
138,822.5,1177.5
139,818.75,1181.25
140,815.0,1185.0
141,815.0,1185.0
142,811.25,1188.75
143,811.25,1188.75
144,811.25,1188.75
145,807.5,1192.5
146,807.5,1192.5
147,803.75,1196.25
148,800.0,1200.0
149,796.25,1203.75
150,796.25,1203.75
151,792.5,1207.5
152,792.5,1207.5
153,788.75,1211.25
154,785.0,1215.0
155,781.25,1218.75
156,796.25,1203.75
157,796.25,1203.75
158,796.25,1203.75
159,792.5,1207.5
160,788.75,1211.25
161,803.75,1196.25
162,800.0,1200.0
163,815.0,1185.0
164,811.25,1188.75
165,811.25,1188.75
166,807.5,1192.5
167,822.5,1177.5
168,818.75,1181.25
169,815.0,1185.0
170,815.0,1185.0
171,811.25,1188.75
172,807.5,1192.5
173,822.5,1177.5
174,818.75,1181.25
175,815.0,1185.0
176,830.0,1170.0
177,826.25,1173.75
178,841.25,1158.75
179,841.25,1158.75
180,856.25,1143.75
181,852.5,1147.5
182,848.75,1151.25
183,845.0,1155.0
184,841.25,1158.75
185,841.25,1158.75
186,837.5,1162.5
187,837.5,1162.5
188,837.5,1162.5
189,833.75,1166.25
190,830.0,1170.0
191,830.0,1170.0
192,826.25,1173.75
193,826.25,1173.75
194,822.5,1177.5
195,822.5,1177.5
196,818.75,1181.25
197,833.75,1166.25
198,833.75,1166.25
199,833.75,1166.25
200,830.0,1170.0
201,830.0,1170.0
202,845.0,1155.0
203,860.0,1140.0
204,856.25,1143.75
205,852.5,1147.5
206,852.5,1147.5
207,848.75,1151.25
208,848.75,1151.25
209,845.0,1155.0
210,841.25,1158.75
211,841.25,1158.75
212,837.5,1162.5
213,833.75,1166.25
214,830.0,1170.0
215,830.0,1170.0
216,830.0,1170.0
217,830.0,1170.0
218,826.25,1173.75
219,822.5,1177.5
220,818.75,1181.25
221,818.75,1181.25
222,815.0,1185.0
223,811.25,1188.75
224,811.25,1188.75
225,811.25,1188.75
226,807.5,1192.5
227,807.5,1192.5
228,803.75,1196.25
229,803.75,1196.25
230,803.75,1196.25
231,803.75,1196.25
232,800.0,1200.0
233,796.25,1203.75
234,792.5,1207.5
235,788.75,1211.25
236,785.0,1215.0
237,785.0,1215.0
238,785.0,1215.0
239,800.0,1200.0
240,796.25,1203.75
241,796.25,1203.75
