round,player 0 bankroll,player 1 bankroll,player 2 bankroll
1,985.0,1000,1000
2,970.0,985.0,1000
3,955.0,1045.0,1060
4,940.0,1030.0,1045.0
5,925.0,1030.0,1030.0
6,925.0,1015.0,1030.0
7,910.0,1000.0,1015.0
8,910.0,985.0,1000.0
9,895.0,1045.0,985.0
10,880.0,1030.0,970.0
11,865.0,1015.0,970.0
12,850.0,1000.0,955.0
13,835.0,985.0,940.0
14,820.0,970.0,940.0
15,820.0,955.0,925.0
16,805.0,1015.0,910.0
17,790.0,1075.0,910.0
18,775.0,1075.0,895.0
19,760.0,1060.0,880.0
20,745.0,1060.0,940.0
21,730.0,1045.0,1000.0
22,715.0,1045.0,985.0
23,700.0,1045.0,970.0
24,700.0,1045.0,970.0
25,685.0,1030.0,955.0
26,745.0,1090.0,940.0
27,730.0,1150.0,940.0
28,730.0,1135.0,925.0
29,730.0,1120.0,925.0
30,715.0,1105.0,910.0
31,700.0,1165.0,895.0
32,685.0,1165.0,895.0
33,670.0,1165.0,895.0
34,670.0,1165.0,880.0
35,670.0,1165.0,865.0
36,655.0,1225.0,850.0
37,640.0,1225.0,850.0
38,625.0,1210.0,835.0
39,685.0,1195.0,820.0
40,670.0,1195.0,820.0
41,655.0,1180.0,805.0
42,640.0,1180.0,790.0
43,640.0,1165.0,775.0
44,640.0,1165.0,775.0
45,640.0,1150.0,760.0
46,625.0,1150.0,760.0
47,625.0,1135.0,760.0
48,625.0,1120.0,760.0
49,610.0,1180.0,760.0
50,595.0,1180.0,745.0
51,580.0,1165.0,745.0
52,565.0,1150.0,745.0
53,550.0,1135.0,730.0
54,550.0,1135.0,730.0
55,535.0,1120.0,790.0
56,535.0,1105.0,790.0
57,520.0,1090.0,775.0
58,580.0,1075.0,760.0
59,565.0,1075.0,745.0
60,550.0,1075.0,730.0
61,535.0,1060.0,715.0
62,520.0,1060.0,715.0
63,520.0,1060.0,700.0
64,520.0,1045.0,685.0
65,505.0,1030.0,670.0
66,565.0,1015.0,730.0
67,550.0,1000.0,715.0
68,535.0,985.0,715.0
69,535.0,970.0,700.0
70,535.0,970.0,685.0
71,520.0,955.0,670.0
72,505.0,955.0,670.0
73,490.0,940.0,730.0
74,475.0,940.0,730.0
75,460.0,925.0,715.0
76,445.0,925.0,700.0
77,430.0,910.0,700.0
78,430.0,895.0,700.0
79,490.0,880.0,760.0
80,475.0,880.0,745.0
81,475.0,865.0,745.0
82,460.0,865.0,730.0
83,460.0,865.0,730.0
84,520.0,850.0,790.0
85,505.0,835.0,775.0
86,490.0,820.0,775.0
87,475.0,805.0,760.0
88,460.0,790.0,760.0
89,445.0,790.0,760.0
90,430.0,775.0,745.0
91,415.0,760.0,745.0
92,400.0,760.0,730.0
93,385.0,760.0,730.0
94,385.0,760.0,715.0
95,385.0,745.0,715.0
96,385.0,745.0,700.0
97,370.0,745.0,685.0
98,370.0,730.0,685.0
99,370.0,730.0,745.0
100,355.0,715.0,730.0
101,355.0,700.0,730.0
102,415.0,685.0,715.0
103,400.0,685.0,715.0
104,385.0,670.0,700.0
105,370.0,655.0,760.0
106,355.0,640.0,820.0
107,355.0,640.0,805.0
108,340.0,640.0,805.0
109,325.0,640.0,805.0
110,325.0,625.0,790.0
111,310.0,625.0,790.0
112,295.0,625.0,790.0
113,355.0,685.0,790.0
114,340.0,685.0,790.0
115,340.0,685.0,775.0
116,325.0,670.0,775.0
117,325.0,670.0,775.0
118,385.0,670.0,760.0
119,370.0,655.0,760.0
120,355.0,655.0,760.0
121,340.0,640.0,745.0
122,325.0,625.0,730.0
123,325.0,625.0,730.0
124,310.0,610.0,715.0
125,310.0,610.0,715.0
126,295.0,595.0,700.0
127,355.0,655.0,760.0
128,340.0,715.0,760.0
129,325.0,700.0,820.0
130,310.0,700.0,820.0
131,295.0,700.0,805.0
132,295.0,685.0,790.0
133,295.0,685.0,775.0
134,355.0,685.0,760.0
135,340.0,670.0,760.0
136,325.0,670.0,745.0
137,310.0,655.0,730.0
138,370.0,715.0,715.0
139,355.0,700.0,715.0
140,355.0,685.0,715.0
141,340.0,670.0,700.0
142,325.0,655.0,685.0
143,325.0,655.0,685.0
144,310.0,715.0,670.0
145,295.0,715.0,670.0
146,355.0,715.0,670.0
147,355.0,700.0,730.0
148,355.0,685.0,730.0
149,355.0,685.0,730.0
150,340.0,685.0,715.0
151,325.0,670.0,700.0
152,325.0,655.0,685.0
153,310.0,655.0,670.0
154,295.0,640.0,655.0
155,295.0,625.0,655.0
156,280.0,610.0,640.0
157,265.0,595.0,640.0
158,250.0,580.0,640.0
159,235.0,565.0,625.0
160,235.0,550.0,610.0
161,220.0,535.0,595.0
162,205.0,520.0,580.0
163,205.0,520.0,580.0
164,190.0,520.0,565.0
165,175.0,520.0,565.0
166,160.0,505.0,550.0
167,160.0,505.0,550.0
168,220.0,490.0,610.0
169,220.0,475.0,595.0
170,205.0,460.0,595.0
171,190.0,460.0,580.0
172,175.0,445.0,580.0
173,395.0,665.0,800.0
174,395.0,650.0,785.0
175,380.0,635.0,785.0
176,380.0,635.0,770.0
177,365.0,620.0,770.0
178,350.0,605.0,770.0
179,335.0,590.0,770.0
180,320.0,575.0,755.0
181,305.0,575.0,815.0
182,290.0,575.0,800.0
183,275.0,560.0,785.0
184,335.0,560.0,770.0
185,320.0,545.0,755.0
186,305.0,605.0,740.0
187,290.0,590.0,725.0
188,275.0,590.0,725.0
189,275.0,590.0,710.0
190,260.0,590.0,710.0
191,245.0,575.0,695.0
192,230.0,575.0,680.0
193,215.0,635.0,665.0
194,200.0,620.0,650.0
195,200.0,620.0,650.0
196,185.0,605.0,650.0
197,170.0,590.0,635.0
198,170.0,575.0,620.0
199,155.0,575.0,605.0
200,140.0,560.0,590.0
201,125.0,545.0,650.0
202,125.0,530.0,635.0
203,185.0,590.0,620.0
204,170.0,575.0,605.0
205,155.0,560.0,590.0
206,140.0,545.0,575.0
207,125.0,530.0,560.0
208,110.0,515.0,620.0
209,95.0,500.0,605.0
210,80.0,485.0,590.0
211,140.0,470.0,575.0
212,125.0,470.0,575.0
213,110.0,470.0,560.0
214,170.0,455.0,545.0
215,155.0,440.0,530.0
216,155.0,425.0,515.0
217,140.0,410.0,500.0
218,140.0,410.0,485.0
219,125.0,395.0,485.0
220,125.0,395.0,485.0
221,125.0,380.0,470.0
222,110.0,380.0,455.0
223,95.0,380.0,455.0
224,80.0,365.0,440.0
225,80.0,365.0,500.0
226,80.0,365.0,500.0
227,80.0,350.0,500.0
228,65.0,335.0,500.0
229,50.0,335.0,485.0
230,50.0,395.0,470.0
231,35.0,380.0,455.0
232,20.0,380.0,440.0
233,20.0,365.0,425.0
234,5.0,365.0,410.0
235,65.0,350.0,395.0
236,50.0,335.0,380.0
237,110.0,395.0,365.0
238,170.0,395.0,350.0
239,170.0,395.0,335.0
240,155.0,395.0,335.0
241,155.0,395.0,335.0
242,155.0,395.0,320.0
243,155.0,380.0,305.0
244,140.0,380.0,290.0
245,125.0,365.0,275.0
246,110.0,350.0,275.0
247,110.0,350.0,260.0
248,170.0,335.0,245.0
249,155.0,320.0,230.0
250,140.0,305.0,215.0
251,140.0,290.0,200.0
252,125.0,275.0,185.0
253,110.0,260.0,170.0
254,110.0,260.0,170.0
255,95.0,245.0,170.0
256,95.0,245.0,155.0
257,80.0,230.0,140.0
258,80.0,215.0,140.0
259,80.0,215.0,125.0
260,65.0,275.0,110.0
261,50.0,275.0,95.0
262,35.0,275.0,80.0
263,20.0,260.0,80.0
264,5.0,320.0,140.0
265,1000,320.0,140.0
266,1000,320.0,140.0
267,1000,320.0,140.0
268,985.0,320.0,140.0
269,1045.0,305.0,140.0
270,1030.0,290.0,200.0
271,1015.0,275.0,185.0
272,1000.0,275.0,170.0
273,1000.0,260.0,155.0
