round,player 0 bankroll,player 1 bankroll,player 2 bankroll
1,997.0,1000,1000
2,994.0,1000,1000
3,994.0,997.0,1000
4,991.0,994.0,997.0
5,988.0,991.0,994.0
6,985.0,988.0,991.0
7,985.0,988.0,988.0
8,982.0,985.0,988.0
9,979.0,997.0,985.0
10,976.0,997.0,985.0
11,973.0,994.0,982.0
12,970.0,991.0,979.0
13,967.0,991.0,976.0
14,964.0,988.0,988.0
15,961.0,985.0,988.0
16,958.0,982.0,988.0
17,955.0,994.0,1000.0
18,952.0,991.0,997.0
19,949.0,988.0,997.0
20,946.0,988.0,994.0
21,943.0,1000.0,994.0
22,943.0,1000.0,991.0
23,940.0,997.0,991.0
24,937.0,994.0,988.0
25,937.0,994.0,988.0
26,934.0,991.0,985.0
27,934.0,988.0,982.0
28,931.0,985.0,994.0
29,928.0,985.0,994.0
30,928.0,985.0,994.0
31,925.0,982.0,1006.0
32,922.0,979.0,1003.0
33,919.0,976.0,1003.0
34,919.0,973.0,1003.0
35,916.0,970.0,1000.0
36,913.0,967.0,1000.0
37,910.0,967.0,997.0
38,907.0,979.0,994.0
39,904.0,976.0,991.0
40,901.0,973.0,988.0
41,913.0,970.0,985.0
42,910.0,967.0,982.0
43,910.0,964.0,982.0
44,910.0,964.0,979.0
45,907.0,961.0,976.0
46,907.0,961.0,973.0
47,907.0,961.0,970.0
48,907.0,958.0,967.0
49,907.0,955.0,967.0
50,907.0,955.0,964.0
51,907.0,955.0,964.0
52,904.0,955.0,961.0
53,904.0,952.0,961.0
54,901.0,952.0,958.0
55,898.0,949.0,958.0
56,895.0,946.0,955.0
57,892.0,943.0,952.0
58,889.0,943.0,949.0
59,886.0,943.0,946.0
60,883.0,943.0,946.0
61,883.0,940.0,943.0
62,883.0,940.0,940.0
63,883.0,940.0,937.0
64,880.0,937.0,934.0
65,880.0,934.0,934.0
66,880.0,934.0,934.0
67,877.0,946.0,931.0
68,874.0,943.0,928.0
69,871.0,955.0,925.0
70,868.0,952.0,969.0
71,865.0,949.0,966.0
72,862.0,949.0,963.0
73,859.0,946.0,960.0
74,856.0,946.0,957.0
75,853.0,943.0,969.0
76,850.0,943.0,966.0
77,850.0,940.0,966.0
78,850.0,937.0,966.0
79,862.0,949.0,963.0
80,859.0,946.0,960.0
81,859.0,946.0,957.0
82,856.0,943.0,954.0
83,856.0,940.0,954.0
84,853.0,937.0,951.0
85,850.0,949.0,948.0
86,847.0,949.0,948.0
87,847.0,949.0,948.0
88,844.0,946.0,945.0
89,841.0,943.0,942.0
90,841.0,940.0,939.0
91,838.0,937.0,939.0
92,838.0,937.0,939.0
93,838.0,934.0,939.0
94,835.0,934.0,939.0
95,832.0,931.0,936.0
96,829.0,943.0,933.0
97,829.0,943.0,933.0
98,826.0,943.0,933.0
99,823.0,940.0,930.0
100,823.0,940.0,927.0
101,820.0,940.0,927.0
102,817.0,937.0,924.0
103,814.0,937.0,936.0
104,826.0,937.0,936.0
105,823.0,934.0,933.0
106,823.0,931.0,933.0
107,823.0,928.0,930.0
108,835.0,940.0,927.0
109,832.0,937.0,924.0
110,832.0,937.0,921.0
111,829.0,934.0,918.0
112,826.0,931.0,915.0
113,823.0,931.0,912.0
114,823.0,931.0,912.0
115,820.0,943.0,909.0
116,817.0,943.0,909.0
117,817.0,940.0,909.0
118,817.0,940.0,909.0
119,814.0,937.0,906.0
120,814.0,937.0,906.0
121,811.0,934.0,903.0
122,808.0,934.0,915.0
123,805.0,934.0,915.0
124,805.0,931.0,915.0
125,805.0,928.0,915.0
126,805.0,925.0,912.0
127,805.0,925.0,909.0
128,805.0,922.0,906.0
129,805.0,919.0,903.0
130,802.0,916.0,900.0
131,814.0,913.0,897.0
132,811.0,910.0,909.0
133,808.0,907.0,906.0
134,805.0,904.0,903.0
135,805.0,901.0,900.0
136,802.0,901.0,897.0
137,799.0,898.0,894.0
138,799.0,898.0,891.0
139,796.0,898.0,888.0
140,793.0,895.0,888.0
141,793.0,895.0,888.0
142,790.0,892.0,900.0
143,787.0,889.0,900.0
144,784.0,886.0,897.0
145,781.0,883.0,897.0
146,781.0,880.0,894.0
147,781.0,877.0,891.0
148,793.0,874.0,888.0
149,793.0,871.0,885.0
150,805.0,868.0,885.0
151,817.0,865.0,885.0
152,817.0,865.0,885.0
153,814.0,865.0,882.0
154,811.0,862.0,879.0
155,808.0,862.0,879.0
156,805.0,862.0,876.0
157,802.0,859.0,873.0
158,802.0,856.0,873.0
159,802.0,853.0,870.0
160,802.0,865.0,882.0
161,802.0,862.0,879.0
162,802.0,862.0,876.0
163,802.0,862.0,876.0
164,799.0,859.0,873.0
165,796.0,859.0,873.0
166,793.0,856.0,870.0
167,790.0,853.0,867.0
168,787.0,850.0,864.0
169,787.0,847.0,864.0
170,799.0,844.0,864.0
171,799.0,844.0,864.0
172,796.0,841.0,864.0
173,796.0,838.0,864.0
174,796.0,835.0,864.0
175,793.0,835.0,864.0
176,790.0,832.0,864.0
177,787.0,829.0,861.0
178,787.0,829.0,861.0
179,787.0,829.0,861.0
180,784.0,826.0,861.0
181,781.0,823.0,861.0
182,778.0,820.0,861.0
183,778.0,817.0,861.0
184,778.0,817.0,858.0
185,790.0,814.0,858.0
186,802.0,811.0,855.0
187,799.0,823.0,852.0
188,796.0,823.0,849.0
189,796.0,823.0,846.0
190,793.0,823.0,846.0
191,793.0,820.0,843.0
192,790.0,817.0,855.0
193,802.0,814.0,855.0
194,802.0,811.0,855.0
195,799.0,808.0,855.0
196,796.0,808.0,855.0
197,796.0,805.0,852.0
198,808.0,805.0,849.0
199,808.0,802.0,846.0
200,808.0,802.0,843.0
201,805.0,799.0,840.0
202,805.0,796.0,840.0
203,802.0,793.0,837.0
204,799.0,793.0,837.0
205,796.0,793.0,834.0
206,793.0,790.0,846.0
207,793.0,790.0,846.0
208,805.0,802.0,843.0
209,802.0,802.0,843.0
210,802.0,799.0,840.0
211,799.0,796.0,837.0
212,796.0,793.0,834.0
213,793.0,793.0,831.0
214,790.0,790.0,828.0
215,787.0,787.0,825.0
216,787.0,784.0,822.0
217,784.0,784.0,819.0
218,784.0,781.0,816.0
219,781.0,778.0,813.0
220,778.0,778.0,810.0
221,775.0,775.0,807.0
222,775.0,775.0,804.0
223,775.0,775.0,801.0
224,775.0,775.0,798.0
225,772.0,772.0,798.0
226,816.0,816.0,795.0
227,816.0,816.0,792.0
228,813.0,813.0,789.0
229,810.0,810.0,786.0
230,807.0,807.0,786.0
231,807.0,807.0,786.0
232,804.0,804.0,783.0
233,801.0,801.0,780.0
234,798.0,798.0,777.0
235,798.0,795.0,774.0
236,798.0,795.0,771.0
237,795.0,792.0,768.0
238,795.0,789.0,768.0
239,792.0,801.0,780.0
240,804.0,798.0,792.0
241,801.0,798.0,789.0
242,798.0,795.0,801.0
243,795.0,795.0,801.0
244,792.0,792.0,798.0
245,792.0,789.0,795.0
246,792.0,789.0,795.0
247,789.0,801.0,792.0
248,786.0,798.0,792.0
249,786.0,798.0,789.0
250,786.0,795.0,786.0
251,786.0,795.0,783.0
252,786.0,792.0,780.0
253,783.0,804.0,777.0
254,795.0,816.0,774.0
255,795.0,816.0,771.0
256,795.0,813.0,771.0
257,795.0,813.0,771.0
258,792.0,813.0,771.0
259,789.0,825.0,768.0
260,786.0,837.0,765.0
261,830.0,834.0,809.0
262,827.0,831.0,809.0
263,839.0,828.0,806.0
264,839.0,825.0,806.0
265,836.0,822.0,806.0
266,833.0,819.0,818.0
267,830.0,816.0,815.0
268,827.0,813.0,815.0
269,824.0,810.0,859.0
270,821.0,810.0,859.0
271,821.0,810.0,856.0
272,821.0,810.0,856.0
273,821.0,807.0,856.0
274,821.0,807.0,853.0
275,821.0,804.0,853.0
276,818.0,801.0,850.0
277,815.0,798.0,862.0
278,815.0,795.0,859.0
279,827.0,792.0,856.0
280,827.0,792.0,856.0
281,827.0,792.0,853.0
282,824.0,792.0,850.0
283,824.0,792.0,847.0
284,821.0,789.0,844.0
285,821.0,786.0,844.0
286,818.0,786.0,841.0
287,815.0,786.0,841.0
288,815.0,786.0,841.0
289,827.0,798.0,838.0
290,824.0,795.0,838.0
291,821.0,792.0,835.0
292,821.0,789.0,832.0
293,821.0,789.0,829.0
294,833.0,801.0,829.0
295,833.0,798.0,829.0
296,833.0,798.0,826.0
297,830.0,795.0,823.0
298,827.0,795.0,820.0
299,827.0,792.0,820.0
300,824.0,789.0,817.0
301,821.0,786.0,817.0
302,818.0,786.0,817.0
303,815.0,783.0,817.0
304,812.0,783.0,817.0
305,809.0,783.0,817.0
306,806.0,780.0,814.0
307,803.0,777.0,811.0
308,800.0,774.0,808.0
309,797.0,771.0,805.0
310,797.0,771.0,802.0
311,794.0,768.0,799.0
312,791.0,768.0,799.0
313,788.0,765.0,796.0
314,785.0,765.0,793.0
315,782.0,765.0,790.0
316,779.0,765.0,790.0
317,776.0,762.0,787.0
318,773.0,759.0,787.0
319,773.0,756.0,787.0
320,770.0,753.0,787.0
321,770.0,750.0,787.0
322,767.0,747.0,787.0
323,767.0,744.0,784.0
324,764.0,741.0,781.0
325,761.0,741.0,781.0
326,761.0,741.0,778.0
327,761.0,738.0,778.0
328,761.0,750.0,778.0
329,758.0,747.0,775.0
330,755.0,744.0,772.0
331,755.0,744.0,772.0
332,752.0,744.0,772.0
333,764.0,741.0,769.0
334,761.0,741.0,769.0
335,761.0,738.0,781.0
336,758.0,750.0,778.0
337,770.0,747.0,775.0
338,770.0,744.0,772.0
339,770.0,741.0,769.0
340,767.0,738.0,766.0
341,767.0,735.0,763.0
342,767.0,732.0,775.0
343,767.0,729.0,775.0
344,764.0,729.0,775.0
345,761.0,726.0,772.0
346,758.0,723.0,769.0
347,755.0,720.0,766.0
348,752.0,717.0,766.0
349,764.0,714.0,763.0
350,761.0,711.0,760.0
351,773.0,708.0,757.0
352,773.0,708.0,757.0
353,770.0,705.0,757.0
354,770.0,702.0,754.0
355,770.0,702.0,751.0
356,770.0,702.0,748.0
357,770.0,702.0,748.0
358,767.0,702.0,745.0
359,764.0,699.0,742.0
360,761.0,696.0,742.0
361,758.0,696.0,739.0
362,755.0,696.0,736.0
363,752.0,708.0,733.0
364,752.0,708.0,730.0
365,752.0,708.0,730.0
366,749.0,708.0,727.0
367,746.0,705.0,724.0
368,743.0,702.0,721.0
369,740.0,699.0,718.0
370,737.0,696.0,730.0
371,734.0,708.0,727.0
372,731.0,705.0,724.0
373,731.0,702.0,721.0
374,743.0,702.0,718.0
375,743.0,702.0,718.0
376,743.0,702.0,715.0
377,740.0,699.0,715.0
378,740.0,699.0,712.0
379,740.0,699.0,712.0
380,740.0,696.0,724.0
381,740.0,696.0,724.0
382,784.0,693.0,721.0
383,784.0,693.0,718.0
384,784.0,690.0,715.0
385,781.0,687.0,712.0
386,778.0,684.0,712.0
387,775.0,684.0,709.0
388,772.0,681.0,709.0
389,769.0,678.0,721.0
390,766.0,675.0,718.0
391,763.0,675.0,718.0
392,760.0,672.0,715.0
393,757.0,669.0,727.0
394,757.0,666.0,727.0
395,754.0,663.0,724.0
396,751.0,660.0,721.0
397,763.0,672.0,718.0
398,760.0,669.0,715.0
399,760.0,666.0,712.0
400,757.0,663.0,709.0
401,754.0,663.0,706.0
402,754.0,660.0,703.0
403,754.0,660.0,703.0
404,751.0,657.0,700.0
405,748.0,657.0,700.0
406,745.0,657.0,697.0
407,742.0,669.0,709.0
408,742.0,666.0,706.0
409,739.0,663.0,703.0
410,739.0,663.0,700.0
411,736.0,663.0,700.0
412,733.0,663.0,700.0
413,733.0,663.0,700.0
414,733.0,660.0,697.0
415,733.0,657.0,697.0
416,730.0,654.0,697.0
417,730.0,654.0,694.0
418,727.0,651.0,694.0
419,724.0,648.0,694.0
420,721.0,645.0,691.0
421,718.0,642.0,691.0
422,730.0,639.0,688.0
423,730.0,636.0,685.0
424,727.0,636.0,685.0
425,724.0,633.0,682.0
426,721.0,630.0,682.0
427,718.0,630.0,679.0
428,718.0,630.0,679.0
429,715.0,627.0,676.0
430,712.0,624.0,673.0
431,709.0,621.0,685.0
432,709.0,618.0,682.0
433,706.0,615.0,679.0
434,703.0,612.0,676.0
435,703.0,609.0,676.0
436,700.0,621.0,673.0
437,697.0,618.0,673.0
438,709.0,618.0,685.0
439,706.0,615.0,685.0
440,718.0,612.0,682.0
441,718.0,609.0,679.0
442,718.0,606.0,679.0
443,715.0,618.0,676.0
444,712.0,615.0,673.0
445,709.0,612.0,670.0
446,706.0,609.0,667.0
447,703.0,606.0,664.0
448,703.0,606.0,661.0
449,700.0,618.0,658.0
450,697.0,615.0,655.0
451,694.0,612.0,667.0
452,694.0,612.0,664.0
453,691.0,609.0,661.0
454,703.0,621.0,658.0
455,700.0,618.0,658.0
456,700.0,615.0,655.0
457,700.0,615.0,652.0
458,712.0,627.0,649.0
459,709.0,624.0,661.0
460,706.0,624.0,658.0
461,703.0,621.0,658.0
462,700.0,618.0,658.0
463,697.0,618.0,658.0
464,694.0,630.0,655.0
465,691.0,630.0,652.0
466,691.0,630.0,652.0
467,688.0,627.0,649.0
468,688.0,627.0,646.0
469,685.0,624.0,646.0
470,685.0,624.0,643.0
471,685.0,636.0,640.0
472,682.0,636.0,637.0
473,679.0,633.0,634.0
474,679.0,633.0,634.0
475,676.0,633.0,631.0
476,673.0,645.0,628.0
477,670.0,642.0,640.0
478,667.0,642.0,637.0
479,667.0,639.0,637.0
480,664.0,636.0,634.0
481,661.0,636.0,634.0
482,658.0,633.0,646.0
483,658.0,633.0,643.0
484,655.0,630.0,640.0
485,652.0,627.0,637.0
486,649.0,624.0,634.0
487,646.0,624.0,646.0
488,690.0,621.0,643.0
489,690.0,618.0,640.0
490,687.0,615.0,637.0
491,699.0,612.0,634.0
492,696.0,612.0,631.0
493,696.0,609.0,628.0
494,696.0,606.0,625.0
495,693.0,603.0,622.0
496,690.0,600.0,619.0
497,687.0,597.0,616.0
498,684.0,597.0,613.0
499,681.0,594.0,613.0
500,678.0,591.0,613.0
501,678.0,591.0,610.0
502,678.0,588.0,607.0
503,675.0,585.0,607.0
504,672.0,585.0,607.0
505,684.0,585.0,619.0
506,684.0,582.0,619.0
507,681.0,582.0,619.0
508,678.0,582.0,616.0
509,690.0,579.0,628.0
510,687.0,576.0,625.0
511,687.0,576.0,625.0
512,687.0,573.0,625.0
513,687.0,570.0,622.0
514,684.0,567.0,619.0
515,681.0,567.0,619.0
516,678.0,564.0,616.0
517,678.0,561.0,613.0
518,675.0,558.0,613.0
519,672.0,555.0,613.0
520,672.0,555.0,610.0
521,669.0,555.0,607.0
522,669.0,552.0,604.0
523,666.0,564.0,604.0
524,663.0,561.0,601.0
525,663.0,558.0,601.0
526,663.0,555.0,601.0
527,660.0,552.0,598.0
528,657.0,552.0,598.0
529,657.0,549.0,595.0
530,654.0,549.0,595.0
531,651.0,549.0,595.0
532,648.0,549.0,595.0
533,648.0,549.0,595.0
534,645.0,546.0,595.0
535,642.0,543.0,592.0
536,639.0,540.0,592.0
537,639.0,537.0,589.0
538,639.0,537.0,589.0
539,639.0,534.0,589.0
540,639.0,534.0,589.0
541,636.0,531.0,589.0
542,636.0,528.0,586.0
543,648.0,525.0,583.0
544,648.0,525.0,580.0
545,645.0,522.0,592.0
546,657.0,519.0,589.0
547,654.0,519.0,589.0
548,651.0,516.0,586.0
549,648.0,513.0,586.0
550,645.0,510.0,583.0
551,642.0,507.0,583.0
552,642.0,507.0,583.0
553,639.0,504.0,583.0
554,639.0,516.0,580.0
555,651.0,513.0,577.0
556,648.0,510.0,577.0
557,645.0,510.0,574.0
558,642.0,507.0,574.0
559,639.0,507.0,571.0
560,636.0,504.0,568.0
561,636.0,501.0,568.0
562,636.0,513.0,565.0
563,636.0,513.0,565.0
564,633.0,510.0,562.0
565,630.0,510.0,562.0
566,627.0,507.0,559.0
567,627.0,504.0,559.0
568,624.0,516.0,556.0
569,621.0,516.0,553.0
570,618.0,516.0,550.0
571,630.0,516.0,547.0
572,627.0,513.0,544.0
573,627.0,510.0,544.0
574,627.0,507.0,541.0
575,627.0,504.0,541.0
576,627.0,501.0,541.0
577,624.0,498.0,541.0
578,621.0,495.0,541.0
579,618.0,492.0,553.0
580,615.0,492.0,550.0
581,612.0,492.0,547.0
582,609.0,489.0,544.0
583,606.0,486.0,541.0
584,606.0,483.0,538.0
585,603.0,495.0,535.0
586,603.0,492.0,532.0
587,603.0,489.0,532.0
588,603.0,486.0,529.0
589,600.0,486.0,526.0
590,600.0,483.0,526.0
591,597.0,480.0,523.0
592,594.0,480.0,520.0
593,591.0,524.0,517.0
594,588.0,521.0,514.0
595,585.0,518.0,511.0
596,582.0,515.0,511.0
597,582.0,515.0,511.0
598,582.0,512.0,511.0
599,579.0,509.0,508.0
600,579.0,509.0,508.0
601,591.0,506.0,505.0
602,603.0,506.0,502.0
603,600.0,503.0,514.0
604,597.0,500.0,511.0
605,594.0,497.0,508.0
606,591.0,509.0,520.0
607,588.0,506.0,520.0
608,632.0,503.0,517.0
609,629.0,503.0,529.0
610,626.0,500.0,526.0
611,626.0,500.0,523.0
612,623.0,497.0,523.0
613,620.0,494.0,520.0
614,620.0,491.0,517.0
615,617.0,488.0,514.0
616,617.0,488.0,511.0
617,614.0,488.0,511.0
618,611.0,485.0,508.0
619,611.0,485.0,508.0
620,608.0,482.0,508.0
621,605.0,479.0,505.0
622,605.0,476.0,502.0
623,617.0,473.0,514.0
624,617.0,473.0,511.0
625,614.0,470.0,508.0
626,626.0,467.0,505.0
627,626.0,464.0,502.0
628,626.0,461.0,499.0
629,623.0,461.0,499.0
630,623.0,458.0,499.0
631,620.0,455.0,499.0
632,620.0,452.0,496.0
633,620.0,452.0,493.0
634,617.0,449.0,490.0
635,617.0,446.0,487.0
636,614.0,443.0,484.0
637,611.0,440.0,484.0
638,611.0,440.0,484.0
639,608.0,437.0,484.0
640,605.0,434.0,528.0
641,602.0,446.0,525.0
642,602.0,443.0,525.0
643,599.0,440.0,525.0
644,599.0,437.0,522.0
645,599.0,437.0,522.0
646,599.0,434.0,522.0
647,599.0,434.0,519.0
648,596.0,431.0,516.0
649,593.0,443.0,516.0
650,590.0,440.0,513.0
651,587.0,437.0,510.0
652,587.0,449.0,510.0
653,584.0,446.0,522.0
654,581.0,443.0,519.0
655,578.0,443.0,516.0
656,575.0,440.0,513.0
657,575.0,440.0,513.0
658,575.0,440.0,510.0
659,575.0,437.0,507.0
660,575.0,437.0,504.0
661,575.0,434.0,501.0
662,572.0,431.0,498.0
663,584.0,428.0,495.0
664,581.0,425.0,492.0
665,578.0,425.0,489.0
666,575.0,422.0,489.0
667,572.0,419.0,486.0
668,569.0,416.0,483.0
669,566.0,413.0,483.0
670,566.0,410.0,483.0
671,563.0,410.0,480.0
672,560.0,410.0,477.0
673,557.0,410.0,474.0
674,554.0,410.0,471.0
675,551.0,422.0,471.0
676,563.0,419.0,468.0
677,563.0,419.0,468.0
678,563.0,416.0,468.0
679,560.0,413.0,465.0
680,560.0,410.0,465.0
681,557.0,422.0,462.0
682,554.0,419.0,459.0
683,551.0,416.0,459.0
684,551.0,413.0,459.0
685,551.0,413.0,459.0
686,548.0,410.0,471.0
687,545.0,407.0,468.0
688,557.0,404.0,465.0
689,557.0,401.0,477.0
690,557.0,398.0,474.0
691,554.0,395.0,471.0
692,551.0,395.0,471.0
693,563.0,392.0,468.0
694,560.0,389.0,465.0
695,560.0,386.0,465.0
696,557.0,383.0,462.0
697,557.0,383.0,462.0
698,557.0,380.0,459.0
699,557.0,380.0,459.0
700,554.0,377.0,456.0
701,554.0,377.0,453.0
702,551.0,374.0,453.0
703,551.0,374.0,453.0
704,551.0,374.0,453.0
705,551.0,374.0,450.0
706,548.0,374.0,450.0
707,545.0,371.0,447.0
708,542.0,368.0,444.0
709,542.0,365.0,441.0
710,542.0,362.0,441.0
711,539.0,374.0,438.0
712,536.0,371.0,438.0
713,533.0,371.0,438.0
714,533.0,371.0,435.0
715,530.0,371.0,432.0
716,542.0,368.0,432.0
717,539.0,365.0,429.0
718,536.0,365.0,429.0
719,533.0,377.0,426.0
720,530.0,389.0,423.0
721,527.0,401.0,420.0
722,527.0,401.0,420.0
723,524.0,413.0,432.0
724,521.0,410.0,429.0
725,518.0,407.0,426.0
726,530.0,407.0,423.0
727,527.0,404.0,423.0
728,527.0,404.0,423.0
729,527.0,401.0,420.0
730,527.0,401.0,417.0
731,527.0,401.0,414.0
732,524.0,398.0,414.0
733,521.0,410.0,411.0
734,518.0,407.0,411.0
735,515.0,404.0,408.0
736,512.0,401.0,405.0
737,509.0,398.0,417.0
738,509.0,398.0,417.0
739,521.0,398.0,429.0
740,518.0,410.0,441.0
741,518.0,407.0,438.0
742,518.0,419.0,435.0
743,515.0,431.0,432.0
744,515.0,428.0,429.0
745,512.0,425.0,426.0
746,509.0,425.0,423.0
747,506.0,422.0,420.0
748,503.0,434.0,417.0
749,500.0,431.0,417.0
750,497.0,428.0,414.0
751,494.0,425.0,411.0
752,494.0,425.0,411.0
753,491.0,422.0,408.0
754,503.0,419.0,408.0
755,503.0,419.0,408.0
756,503.0,416.0,405.0
757,500.0,413.0,402.0
758,512.0,410.0,399.0
759,509.0,422.0,399.0
760,506.0,419.0,411.0
761,506.0,419.0,411.0
762,503.0,416.0,408.0
763,503.0,413.0,408.0
764,500.0,410.0,405.0
765,512.0,422.0,402.0
766,509.0,422.0,402.0
767,506.0,422.0,399.0
768,503.0,419.0,399.0
769,500.0,416.0,396.0
770,497.0,413.0,393.0
771,494.0,413.0,405.0
772,494.0,410.0,402.0
